Edad,Genero,Peso (kg),Altura (m),Maximo_LATIDOS_POR_MINUTO,Promedio_LATIDOS_POR_MINUTO,Reposo_LATIDOS_POR_MINUTO,Duracion_Sesion (horas),Calorias_Quemadas,Tipo_Entrenamiento,Porcentaje_Grasa,Agua (litros),Frecuencia (dias/semanal),Nivel_Experiencia,Indice_De_Masa_Corporal
18,Female,"63,3","1,59",185,125,50,"1,86","2655,7",HIIT,2558911455616020000%,"2,7",4,3,"25,0"
18,Male,"62,3","1,59",189,162,50,"1,22","1173,2",Cardio,237580275229726000%,"2,2",4,2,"24,6"
18,Male,"126,1","1,67",172,153,60,"1,46","1932,0",HIIT,3500%,"2,2",3,2,"45,2"
18,Male,"65,1","1,55",184,161,59,"1,42","1877,5",HIIT,247694579169045000%,"2,2",3,2,"27,1"
18,Male,"57,5","1,61",175,150,71,"1,9","1976,0",Cardio,256148386818641000%,"2,71",4,3,"22,2"
18,Female,"92,4","1,74",195,168,50,"1,42","1407,1",Strength,2955935819943420000%,"3,1",2,1,"30,5"
18,Female,"66,6","1,75",170,122,61,"0,95","939,6",Strength,240583424038549000%,"1,73",2,1,"21,7"
18,Female,"61,4","1,79",191,126,69,"1,11","976,8",Cardio,235429549223550000%,"2,08",2,1,"19,2"
18,Male,"72,4","1,54",194,125,54,"0,96","1158,4",HIIT,296443820453618000%,"1,68",2,1,"30,5"
18,Female,"64,9","1,82",187,149,52,"1,21","1306,8",Strength,2005804318194890000%,"2,41",3,2,"19,6"
18,Female,"88,5","1,93",161,139,72,"1,72","1787,4",Cardio,3029696964525740000%,"3,5",4,3,"23,8"
18,Female,"55,0","1,68",176,158,71,"1,27","914,4",Yoga,215127865852510000%,"2,2",4,2,"19,5"
18,Male,"70,6","1,61",173,168,71,"1,31","1588,0",HIIT,2757636105308720000%,"2,52",2,1,"27,2"
18,Female,"63,7","1,59",185,125,50,"1,86","1449,7",Yoga,246953821793947000%,"2,7",4,3,"25,2"
18,Female,"61,2","1,79",191,126,69,"1,1","1090,0",Strength,218450897763535000%,"2,11",2,1,"19,1"
18,Male,"50,6","1,53",181,147,52,"1,28","1692,4",HIIT,208416826572459000%,"2,1",3,2,"21,6"
18,Male,"50,8","1,53",181,147,52,"1,3","1714,6",HIIT,271218384922292000%,"2,12",3,2,"21,7"
18,Female,"57,3","1,75",193,160,74,"1,3","936,0",Yoga,2269078505294620000%,"2,39",3,2,"18,7"
18,Male,"126,5","1,67",172,153,60,"1,47","1587,6",Strength,3500%,"2,2",3,2,"45,4"
18,Female,"50,6","1,53",181,147,52,"1,28","1689,6",HIIT,221688602886811000%,"2,1",3,2,"21,6"
18,Male,"63,3","1,63",162,120,73,"0,67","442,2",Yoga,262424797956057000%,"2,21",3,1,"23,8"
18,Male,"83,2","1,96",183,150,67,"1,83","2612,9",HIIT,278136133869915000%,"3,51",4,3,"21,7"
18,Female,"64,3","1,59",185,125,50,"1,88","1465,3",Yoga,242251010449086000%,"2,71",4,3,"25,4"
18,Male,"64,0","1,82",187,149,52,"1,2","1152,0",Cardio,1837938633834750000%,"2,39",3,2,"19,3"
18,Female,"64,7","1,82",187,149,52,"1,19","1569,5",HIIT,1998232937284010000%,"2,39",3,2,"19,5"
18,Male,"64,0","1,59",185,125,50,"1,88","2199,6",Strength,3021000012943940000%,"2,69",4,3,"25,3"
18,Female,"91,5","1,74",195,168,50,"1,4","1382,2",Strength,3258917965583780000%,"3,08",2,1,"30,2"
18,Female,"64,6","1,82",187,149,52,"1,2","1580,0",HIIT,1958851907323680000%,"2,4",3,2,"19,5"
18,Female,"92,1","1,74",195,167,50,"1,42","1408,4",Strength,316322937486863000%,"3,08",2,1,"30,4"
18,Female,"68,6","1,8",174,152,50,"1,1","1188,0",Strength,236893840937617000%,"3,3",4,2,"21,2"
18,Female,"64,1","1,59",185,125,50,"1,88","1956,7",Cardio,2653002157777970000%,"2,74",4,3,"25,4"
18,Male,"63,8","1,59",185,125,50,"1,88","2197,9",Strength,2748105268650430000%,"2,68",4,3,"25,2"
18,Female,"92,5","1,74",195,168,50,"1,4","923,2",Yoga,289731621163922000%,"3,08",2,1,"30,5"
18,Male,"69,5","1,61",173,168,71,"1,3","1577,3",HIIT,266044117787018000%,"2,49",2,1,"26,8"
18,Male,"66,5","1,74",170,122,61,"0,94","620,4",Yoga,262552520253537000%,"1,7",2,1,"22,0"
18,Female,"66,6","1,57",193,127,63,"1,07","1411,2",HIIT,332173109470651000%,"2,18",3,2,"27,0"
18,Female,"51,1","1,53",181,147,52,"1,3","935,2",Yoga,250607523173185000%,"2,12",3,2,"21,8"
18,Male,"92,3","1,74",194,168,50,"1,41","1241,9",Cardio,281182445156507000%,"3,09",2,1,"30,5"
18,Female,"72,1","1,54",194,125,54,"0,98","969,3",Strength,3090777856214190000%,"1,71",2,1,"30,4"
18,Female,"52,4","1,74",187,165,58,"1,19","784,7",Yoga,2177422383058710000%,"2,2",2,1,"17,3"
18,Female,"125,8","1,67",172,153,60,"1,46","1053,0",Yoga,3500%,"2,2",3,2,"45,1"
18,Female,"64,8","1,53",170,141,54,"1,98","1543,2",Yoga,284226375554315000%,"2,69",5,3,"27,7"
18,Female,"65,4","1,55",184,161,59,"1,42","1024,1",Yoga,2981164456601050000%,"2,21",3,2,"27,2"
18,Male,"61,5","1,85",161,121,53,"0,88","1065,8",HIIT,2542718667267930000%,"3,02",3,1,"18,0"
18,Female,"72,6","1,54",194,125,54,"0,97","640,8",Yoga,3475342203517400000%,"1,71",2,1,"30,6"
18,Male,"60,9","1,79",191,126,69,"1,11","732,6",Yoga,204191014882603000%,"2,12",2,1,"19,0"
18,Female,"92,8","1,74",195,168,50,"1,41","1703,0",HIIT,3076069908021550000%,"3,09",2,1,"30,7"
18,Female,"67,6","1,8",174,153,50,"1,09","785,5",Yoga,2414460719912880000%,"3,28",4,2,"20,9"
18,Female,"92,2","1,74",195,168,50,"1,41","1240,8",Cardio,317590926385374000%,"3,09",2,1,"30,5"
18,Male,"67,9","1,8",174,153,50,"1,1","1188,0",Strength,263416626103989000%,"3,29",4,2,"21,0"
18,Female,"119,3","1,64",188,134,67,"0,94","620,4",Yoga,3500%,"2,69",3,1,"44,4"
18,Female,"69,1","1,61",173,168,71,"1,3","1288,2",Strength,2693123359919190000%,"2,5",2,1,"26,7"
18,Male,"56,9","1,75",193,160,74,"1,3","935,2",Yoga,190226842761467000%,"2,39",3,2,"18,6"
18,Female,"65,2","1,55",184,161,59,"1,41","1352,5",Cardio,267733744790586000%,"2,19",3,2,"27,1"
18,Female,"53,8","1,68",176,158,71,"1,27","913,6",Yoga,198233792580913000%,"2,2",4,2,"19,1"
18,Female,"114,5","1,96",192,128,60,"1,04","913,5",Cardio,3025315119468920000%,"2,59",3,1,"29,8"
18,Female,"64,6","1,59",185,126,50,"1,87","2186,2",Strength,2720011417888580000%,"2,7",4,3,"25,5"
18,Female,"72,4","1,54",194,125,54,"0,97","961,2",Strength,3278651570451890000%,"1,71",2,1,"30,5"
18,Male,"71,3","1,54",194,125,54,"0,97","640,8",Yoga,334612289868645000%,"1,71",2,1,"30,1"
18,Male,"62,2","1,59",190,162,50,"1,24","1638,2",HIIT,309853816244856000%,"2,21",4,2,"24,6"
18,Male,"62,7","1,85",161,121,53,"0,88","775,1",Cardio,196725292930602000%,"2,99",3,1,"18,3"
18,Male,"70,1","1,61",173,168,71,"1,31","1150,7",Cardio,288298507801485000%,"2,48",2,1,"27,0"
18,Female,"60,7","1,79",191,126,69,"1,11","1098,9",Strength,220096784563043000%,"2,07",2,1,"19,0"
18,Male,"57,6","1,75",193,160,74,"1,29","1702,8",HIIT,205012801746826000%,"2,4",3,2,"18,8"
18,Female,"65,1","1,53",170,141,54,"1,97","1536,6",Yoga,282588635381837000%,"2,69",5,3,"27,8"
18,Male,"114,7","1,97",192,128,60,"1,03","1020,6",Strength,299370115726802000%,"2,61",3,1,"29,6"
18,Male,"64,1","1,59",185,125,50,"1,87","2674,1",HIIT,253725032769054000%,"2,71",4,3,"25,4"
18,Female,"64,8","1,53",170,141,54,"1,97","2817,1",HIIT,253085691799982000%,"2,69",5,3,"27,7"
18,Male,"57,5","1,75",193,160,74,"1,29","1236,3",Cardio,213269334490904000%,"2,4",3,2,"18,8"
18,Male,"65,0","1,82",187,149,52,"1,2","1151,0",Cardio,229213812262846000%,"2,4",3,2,"19,6"
18,Male,"84,0","1,96",183,150,67,"1,84","1918,0",Cardio,2499251685773650000%,"3,5",4,3,"21,9"
18,Female,"64,6","1,82",187,149,52,"1,21","1307,9",Strength,235525945383950000%,"2,38",3,2,"19,5"
18,Male,"83,3","1,96",183,150,67,"1,83","2620,9",HIIT,236283545341460000%,"3,5",4,3,"21,7"
18,Female,"67,3","1,75",170,122,61,"0,94","1135,3",HIIT,218974016316752000%,"1,69",2,1,"22,0"
18,Female,"126,9","1,67",172,153,60,"1,46","1927,2",HIIT,3500%,"2,19",3,2,"45,5"
18,Female,"64,9","1,59",185,124,50,"1,86","2659,8",HIIT,2818811731090980000%,"2,7",4,3,"25,7"
18,Female,"54,7","1,68",176,158,71,"1,27","1219,2",Cardio,1948702385213010000%,"2,19",4,2,"19,4"
18,Male,"57,2","1,75",193,160,74,"1,29","1394,4",Strength,2199979500419310000%,"2,41",3,2,"18,7"
18,Male,"66,5","1,57",193,127,63,"1,08","777,6",Yoga,263565733664111000%,"2,21",3,2,"27,0"
18,Female,"83,1","1,96",183,150,67,"1,82","1419,6",Yoga,253015024131038000%,"3,49",4,3,"21,6"
18,Female,"50,9","1,53",181,147,52,"1,28","923,1",Yoga,2310630336312750000%,"2,08",3,2,"21,8"
18,Male,"66,3","1,57",193,127,63,"1,07","1030,6",Cardio,2741144543166930000%,"2,2",3,2,"26,9"
18,Female,"64,8","1,55",184,161,59,"1,41","1521,5",Strength,273712136043357000%,"2,21",3,2,"27,0"
18,Female,"55,1","1,68",176,158,71,"1,25","1647,3",HIIT,227609987222950000%,"2,18",4,2,"19,5"
18,Female,"50,9","1,53",181,147,52,"1,29","1393,2",Strength,228233898672036000%,"2,09",3,2,"21,7"
18,Male,"88,2","1,93",161,139,72,"1,71","2002,2",Strength,260149921509241000%,"3,51",4,3,"23,7"
18,Female,"50,0","1,54",181,147,52,"1,29","1700,0",HIIT,2411409441623630000%,"2,12",3,2,"21,1"
18,Female,"64,6","1,82",187,149,52,"1,22","879,1",Yoga,236635244328150000%,"2,41",3,2,"19,5"
18,Female,"126,3","1,67",172,152,60,"1,46","1053,0",Yoga,3500%,"2,2",3,2,"45,3"
18,Female,"62,7","1,63",162,120,73,"0,65","646,4",Strength,254992589302527000%,"2,2",3,1,"23,6"
18,Female,"57,8","1,61",175,150,71,"1,91","1987,9",Cardio,2309078002647800000%,"2,7",4,3,"22,3"
18,Male,"52,5","1,74",187,165,58,"1,2","1054,1",Cardio,223731482431792000%,"2,21",2,1,"17,3"
18,Female,"52,1","1,74",186,165,58,"1,2","1453,3",HIIT,1884263712178780000%,"2,2",2,1,"17,2"
18,Female,"62,9","1,85",161,121,53,"0,88","581,9",Yoga,1941611462921610000%,"2,99",3,1,"18,4"
18,Female,"67,9","1,8",174,153,50,"1,11","1196,8",Strength,1839956645878750000%,"3,3",4,2,"21,0"
18,Female,"92,6","1,74",195,168,50,"1,41","1701,5",HIIT,312547313790125000%,"3,1",2,1,"30,6"
18,Female,"92,7","1,74",195,168,50,"1,43","1728,7",HIIT,3298505223451880000%,"3,08",2,1,"30,6"
18,Male,"64,4","1,82",187,149,52,"1,2","1152,0",Cardio,231943794211017000%,"2,41",3,2,"19,5"
18,Female,"118,9","1,64",188,134,67,"0,94","1135,3",HIIT,3500%,"2,69",3,1,"44,2"
18,Female,"65,0","1,53",170,141,54,"1,99","1554,6",Yoga,294358677282920000%,"2,68",5,3,"27,8"
18,Male,"61,0","1,79",191,126,69,"1,11","978,6",Cardio,2325951293142520000%,"2,1",2,1,"19,0"
18,Male,"83,0","1,96",183,150,67,"1,83","2620,9",HIIT,25071945761326700%,"3,5",4,3,"21,6"
18,Female,"92,5","1,74",195,168,50,"1,41","1394,6",Strength,307224347919124000%,"3,09",2,1,"30,6"
18,Female,"58,0","1,61",175,150,71,"1,9","1480,9",Yoga,255381169584935000%,"2,69",4,3,"22,4"
18,Female,"66,6","1,55",184,161,59,"1,43","1375,1",Cardio,286175846582378000%,"2,19",3,2,"27,7"
18,Male,"58,3","1,61",175,150,71,"1,91","2727,1",HIIT,2454432147733690000%,"2,68",4,3,"22,5"
18,Male,"66,0","1,55",184,161,59,"1,42","1362,1",Cardio,2706695272513930000%,"2,2",3,2,"27,5"
18,Female,"58,1","1,61",175,150,71,"1,9","2221,3",Strength,2576047655564320000%,"2,71",4,3,"22,4"
18,Male,"68,4","1,8",174,153,50,"1,1","1055,1",Cardio,2300089430935610000%,"3,32",4,2,"21,1"
18,Female,"68,0","1,8",174,153,50,"1,11","797,9",Yoga,2336014772962750000%,"3,3",4,2,"21,0"
18,Male,"92,6","1,74",195,168,50,"1,41","1704,6",HIIT,3027191879743170000%,"3,12",2,1,"30,6"
18,Female,"126,3","1,67",172,153,60,"1,46","1927,2",HIIT,3500%,"2,2",3,2,"45,3"
18,Male,"73,1","1,55",172,126,56,"0,83","1001,6",HIIT,2895686559110080000%,"2,01",3,1,"30,4"
18,Female,"83,9","1,96",183,150,67,"1,83","1425,2",Yoga,2400717790996540000%,"3,48",4,3,"21,9"
18,Male,"64,1","1,82",187,149,52,"1,2","1293,8",Strength,200152787746187000%,"2,4",3,2,"19,3"
18,Male,"64,8","1,82",187,149,52,"1,2","863,3",Yoga,2192424935846010000%,"2,4",3,2,"19,6"
18,Female,"118,8","1,64",188,134,67,"0,94","620,4",Yoga,3500%,"2,71",3,1,"44,2"
18,Female,"64,1","1,82",187,149,52,"1,2","864,7",Yoga,2279024082006750000%,"2,4",3,2,"19,4"
18,Male,"63,8","1,53",170,142,54,"1,98","2318,4",Strength,2855414988559320000%,"2,69",5,3,"27,2"
18,Female,"56,9","1,75",193,160,74,"1,29","926,5",Yoga,226512006175887000%,"2,4",3,2,"18,6"
18,Female,"54,7","1,68",176,158,71,"1,27","914,4",Yoga,204132877564807000%,"2,18",4,2,"19,4"
18,Female,"64,1","1,59",185,125,50,"1,88","2197,9",Strength,239240814310616000%,"2,7",4,3,"25,4"
18,Male,"81,6","1,84",190,148,66,"1,73","1797,8",Cardio,2435623649342940000%,"3,49",5,3,"24,1"
18,Male,"52,2","1,74",187,165,58,"1,19","1438,6",HIIT,205641747274727000%,"2,18",2,1,"17,3"
18,Female,"119,1","1,64",188,134,67,"0,94","621,0",Yoga,3500%,"2,68",3,1,"44,3"
18,Female,"64,2","1,53",170,141,54,"1,98","2060,8",Cardio,305092017173972000%,"2,7",5,3,"27,4"
18,Male,"126,6","1,67",171,154,60,"1,46","1401,6",Cardio,3500%,"2,18",3,2,"45,4"
18,Female,"58,0","1,61",175,150,71,"1,9","2223,0",Strength,210192593347417000%,"2,71",4,3,"22,4"
18,Female,"60,5","1,79",191,126,69,"1,12","1107,8",Strength,212474695387346000%,"2,11",2,1,"18,9"
18,Male,"65,5","1,55",184,161,59,"1,42","1531,0",Strength,3141308634128560000%,"2,21",3,2,"27,2"
18,Female,"73,0","1,55",172,126,56,"0,84","831,6",Strength,301457875657188000%,"1,99",3,1,"30,4"
18,Female,"64,4","1,82",187,149,52,"1,21","1162,6",Cardio,2173979544621390000%,"2,39",3,2,"19,4"
18,Male,"127,0","1,67",172,153,60,"1,47","1945,3",HIIT,3500%,"2,2",3,2,"45,5"
18,Female,"81,7","1,84",190,148,66,"1,74","1808,2",Cardio,2830889659479000000%,"3,5",5,3,"24,1"
18,Female,"62,3","1,85",161,121,53,"0,87","1054,6",HIIT,230702807047444000%,3,3,1,"18,2"
18,Female,"57,1","1,61",175,150,71,"1,9","1480,9",Yoga,236313565105480000%,"2,69",4,3,"22,0"
18,Male,"66,0","1,75",170,122,61,"0,94","827,2",Cardio,22755966922134300%,"1,66",2,1,"21,6"
18,Male,"67,4","1,75",170,122,61,"0,93","817,7",Cardio,256344881562654000%,"1,69",2,1,"22,0"
18,Female,"58,6","1,61",175,150,71,"1,9","2714,9",HIIT,2820819741313990000%,"2,7",4,3,"22,6"
18,Male,"67,3","1,6",182,164,71,"0,61","402,2",Yoga,2445225355988740000%,"2,41",3,1,"26,3"
18,Female,"67,6","1,8",174,153,50,"1,1","1057,8",Cardio,246249280227232000%,"3,27",4,2,"20,9"
18,Male,"126,4","1,67",172,153,60,"1,46","1574,2",Strength,3500%,"2,2",3,2,"45,3"
18,Female,"55,7","1,68",176,158,71,"1,26","1209,6",Cardio,203729890486561000%,"2,2",4,2,"19,7"
